user,admin,consent,level,score,taken_tutorial
user_0000,False,True,0,24,True
user_0001,False,True,0,0,False
user_0002,False,True,0,0,False
user_0003,False,True,0,0,False
user_0004,False,True,0,0,True
user_0005,False,True,0,0,False
user_0006,False,True,1,124,True
user_0007,False,True,2,351,True
user_0008,False,True,0,5,True
user_0009,False,True,0,49,True
user_0010,False,True,6,2500,True
user_0011,False,True,1,108,True
user_0012,False,True,0,58,True
user_0013,False,True,0,33,True
user_0014,False,True,0,0,False
user_0015,False,True,0,0,False
user_0016,False,True,6,2158,True
user_0017,False,True,0,0,False
user_0018,False,True,0,0,False
user_0019,False,True,0,0,True
user_0020,False,True,0,0,False
user_0021,False,True,6,2483,True
user_0022,False,True,2,387,True
user_0023,False,True,0,0,False
user_0024,False,True,1,213,True
user_0025,False,True,0,5,True
user_0026,False,True,1,328,True
user_0027,False,True,0,0,False
user_0028,False,True,2,375,True
user_0029,False,True,6,5246,True
user_0030,False,True,0,9,True
user_0031,False,True,0,34,True
user_0032,False,True,4,1201,True
user_0033,False,True,6,2508,True
user_0034,False,True,0,1,True
user_0035,False,True,0,9,True
user_0036,False,True,4,1002,True
user_0037,False,True,0,51,True
user_0038,True,True,0,15,True
user_0039,False,True,0,0,False
user_0040,False,True,0,0,False
user_0041,False,True,0,27,True
user_0042,False,True,0,0,False
user_0043,False,True,3,945,True
user_0044,False,True,0,32,True
user_0045,False,True,4,1001,True
user_0046,False,True,0,0,False
user_0047,False,True,0,0,False
user_0048,False,True,0,0,False
user_0049,False,True,0,0,False
user_0050,False,True,0,0,False
user_0051,False,True,0,0,True
user_0052,False,True,1,191,True
user_0053,False,True,0,0,False
user_0054,False,True,0,0,False
user_0055,False,True,6,3353,True
user_0056,False,True,4,1167,True
user_0057,False,True,1,103,True
user_0058,False,True,0,0,True
user_0059,False,True,0,0,True
user_0060,False,True,1,176,True
user_0061,False,True,1,112,True
user_0062,False,True,0,0,False
user_0063,False,True,5,1501,True
user_0064,False,True,1,121,True
user_0065,False,True,0,0,False
user_0066,False,True,0,44,True
user_0067,False,True,0,0,False
user_0068,False,True,1,237,True
user_0069,False,True,0,1,True
user_0070,False,True,0,0,False
user_0071,False,True,4,1078,True
user_0072,False,True,6,7060,True
user_0073,False,True,1,233,True
user_0074,False,True,2,427,True
